Production_test,Production_predicted
56841,56731.491460680554
48326,26342.2571804684
486,12059.48688952466
48393,47837.24297548484
30014,26656.60476163744
26145,24930.785729606705
27967,16348.758082867158
26456,24391.18396025676
49815,35106.320762524745
56526,56442.5592143226
17369,26342.2571804684
26456,26805.81889063526
13632,13219.033627705674
51285,51555.84784743974
26456,22623.162660985432
26208,26045.990956670623
59095,59025.45251009896
42155,26309.658833715
46936,26658.403150321563
10001,10278.354323603598
36121,35999.51069289754
26456,24391.18396025676
37785,18779.5906381044
0,26805.81889063526
10609,26342.2571804684
54849,54694.4423810337
29881,16067.085197161678
26456,15632.615073072235
4500,26309.658833715
26456,27340.11015128449
405,248.96173673749007
1769,26309.658833715
25502,25906.67967285564
154,20889.983539102406
8852,26805.81889063526
13079,12405.770314743007
43703,42566.21659895488
23689,20889.983539102406
1264,24428.22172012338
26456,26450.708782940615
42668,42235.74593560314
51672,51820.373838277745
13983,14097.101941497633
28110,16874.01837188765
14873,26309.658833715
17826,20352.479924396226
38978,39034.87753822445
0,29.489957445116087
29068,29134.307640286923
28554,28658.08235439382
16277,31207.826779077983
27979,27838.52337046062
47100,46497.28057554995
33189,33085.06823887161
53842,53524.89349823213
1777,16564.267304830915
59933,59884.40339581207
16857,23068.044381159278
47834,29666.757327348096
15617,15794.180823514247
0,29.698299215723875
32401,34324.339666232125
32983,33199.99258396894
14869,24589.7277891425
8994,9255.48993391586
19556,20865.32893536765
25468,24930.785729606705
47726,47381.74133982164
1382,15601.451019119706
0,54.506181376194434
26699,27435.52395926349
14533,28608.938604043735
14431,14675.894069437105
40498,24391.18396025676
42402,42493.35906860048
61306,61256.67412785431
26063,24251.280727336
19396,22623.162660985432
9993,13042.577696636263
55140,54957.46290545369
25662,26224.24110307125
922,26309.658833715
31026,43319.717852042886
46796,46794.19167196468
60515,60394.422630181405
26456,27340.11015128449
40,15632.615073072235
0,16564.267304830915
45646,46421.08014523325
43043,42848.22521336183
28185,27904.764905094882
15789,16820.732910155373
51838,51861.470346240094
26456,27372.708498037897
1894,2262.2260900110523
47364,47487.88467918861
10488,10952.461757197962
9808,26927.638395047965
26456,27302.401808151466
37143,38600.16381396816
19064,19903.209079365082
35940,36010.91090569287
56917,56807.905354259376
36496,24391.18396025676
26456,24391.18396025676
48923,48878.47531069569
52988,27735.2716501951
18579,17778.016708232004
56081,56539.7229267352
53361,53788.49823082917
17254,18029.301245439765
25063,25180.160870964537
40223,24391.18396025676
976,1036.30044046401
0,21.71158713598606
26456,27340.11015128449
36005,22900.110034918973
46396,43392.128374097956
199,20889.983539102406
54346,54630.8974639508
48137,48032.73060989336
46419,26902.138084407143
21310,34989.157763178
23390,20889.983539102406
0,339.36109684474235
32517,35062.467067585385
13050,14182.635693951399
15309,26309.658833715
57942,57862.10297569579
14770,15916.255179444586
14951,15909.017399216069
51627,58001.99669914396
19297,26309.658833715
26075,25888.058022818914
44169,26792.04028830892
12002,9174.594831866525
21747,22623.162660985432
61099,60843.24282711349
53957,53794.00296889479
24576,15601.451019119706
20385,26792.04028830892
0,29.489957445116087
55138,27054.690279873692
32295,31561.820473466745
21232,20976.631489495463
0,27525.136036023203
49732,26869.539737653733
32289,31686.21108101912
26456,27335.000154904876
38487,38450.86995019821
431,10292.473933207088
26456,24235.52124460467
42540,42095.84804239805
12181,24391.18396025676
0,18.63339508371955
33139,35267.759775981984
26456,27297.573350407372
15581,17947.462339205173
33914,16564.267304830915
6669,6610.604481670324
6718,6714.031549372286
20483,26309.658833715
14800,13978.618744701895
18556,18504.357821440743
21772,22052.756381253945
1282,21356.764689615018
43819,43884.109128874785
31837,27332.913513449483
23426,23404.234084362564
39710,19363.03871972555
48799,35013.86849528996
35314,35551.55954821227
43641,43443.09951062318
26456,16564.267304830915
15173,15566.989281132184
47899,47963.89655153049
43806,43803.70519241512
51291,51560.12558553498
28411,28264.13243577495
26456,24391.18396025676
41192,40200.12381869369
50341,50457.961799918776
35538,36053.326040089625
45180,26381.01269283107
1894,25390.280466189022
51732,51676.34963099977
29694,26342.2571804684
26456,26805.81889063526
13794,14349.892092996852
62008,61882.44620085637
774,11495.730320509761
26456,26805.81889063526
49311,49061.64961343518
26456,27340.11015128449
11949,16177.61786662794
27338,20889.983539102406
2425,15601.451019119706
1001,26309.658833715
38940,26792.04028830892
28759,26345.954298904053
38481,36536.96602105649
38285,38348.25811173902
53434,26342.2571804684
59980,59929.323181088985
26456,26450.708782940615
971,19363.03871972555
22431,22256.982852983125
7880,20889.983539102406
8619,35062.467067585385
13688,24601.941030561702
56279,29580.363447906915
26419,26379.841755316287
56918,57058.79301276265
26456,27302.401808151466
4630,15153.638077726448
6612,26309.658833715
47225,26824.638635062325
15365,16341.161526375137
35019,35631.868247787366
11726,12210.101235369882
14632,14682.322209482796
4768,15947.419233397115
30874,31138.077290260793
8738,26559.264960365606
1499,15947.419233397115
45128,45079.493501211015
26456,27302.401808151466
36739,29768.639649608507
21801,24191.730136798833
14964,18151.40582703654
6266,6481.354853728891
32358,26353.22216295211
2045,15927.734231591015
29609,29508.10476526413
16147,15916.255179444586
38985,26483.307129694018
52260,32213.435322591118
55571,55671.14850776783
34626,27609.099722860316
9969,11038.185133737676
11520,11832.696654548663
28369,28395.796224697886
7412,34949.216412922404
21800,20830.080658106745
26456,26426.071098639673
8291,8349.4725515378
7649,29768.639649608507
39437,35062.467067585385
12620,26902.138084407143
23357,27022.09193312029
26456,26305.185962793348
0,47.285496655044014
36181,26805.81889063526
53178,27735.2716501951
3386,20626.981089756624
40213,39953.467274650364
24248,24030.742369893982
41213,26927.638395047965
59160,58563.86689005753
32439,33050.79415064761
36050,36070.90601344847
57129,26309.658833715
16184,17251.44999958843
9381,9125.0523748119
25406,26353.22216295211
45572,45475.55869960236
55609,43897.827920860036
4611,26309.658833715
0,26914.051996287297
44982,44838.56408285271
47087,27340.11015128449
18677,18615.53445734377
26456,27427.26801076666
28745,30074.211235455918
39091,26342.2571804684
26667,24391.18396025676
4062,3948.3910475654384
40098,37602.85918571462
24219,26773.002047061684
0,240.0019879325608
26456,24391.18396025676
24613,26309.658833715
59556,59276.770466838425
38710,27623.606935813375
28506,28815.799675565624
8921,18220.59651355383
8048,7952.211886183285
